A,B,C
6,6,80.63526079
6,18,80.63799376
6,30,80.64086352
6,42,80.64387661
6,54,80.64704233
6,66,80.65036896
6,78,80.65386603
6,90,80.65754292
6,102,80.66141012
6,114,80.66547781
6,126,80.66975594
6,138,80.6742559
6,150,80.67898851
6,162,80.68396372
6,174,80.68919118
6,186,80.6946817
6,198,80.70044205
6,210,80.70648034
6,222,80.71280056
6,234,80.71940549
6,246,80.72629362
6,258,80.73346016
6,270,80.7408957
6,282,80.74858321
6,294,80.75650072
6,306,80.76461861
6,318,80.77289655
6,330,80.78128592
6,342,80.78972779
6,354,80.7981516
6,366,80.80647802
6,378,80.81461467
6,390,80.82246319
6,402,80.82991664
6,414,80.83686256
6,426,80.84318956
6,438,80.84878582
6,450,80.85354625
6,462,80.85737816
6,474,80.860203
6,486,80.86196099
6,498,80.86261405
6,510,80.86214701
6,522,80.8605716
6,534,80.8579207
6,546,80.85425186
6,558,80.84963979
6,570,80.84417582
6,582,80.83796326
6,594,80.83111254
6,606,80.82373587
6,618,80.81594552
6,630,80.80784999
6,642,80.79954831
6,654,80.79113521
6,666,80.78269084
6,678,80.7742886
6,690,80.7659884
6,702,80.75784063
6,714,80.74988757
6,726,80.74216
6,738,80.73468113
6,750,80.72746891
6,762,80.7205339
6,774,80.71388155
6,786,80.70751413
6,798,80.70142889
6,810,80.69562292
6,822,80.69008774
6,834,80.68481705
6,846,80.67980051
6,858,80.67502848
6,870,80.67049005
6,882,80.66617605
6,894,80.66207377
18,6,79.83691714
18,18,79.83980269
18,30,79.8428367
18,42,79.84602806
18,54,79.84938712
18,66,79.85292318
18,78,79.85664818
18,90,79.86057324
18,102,79.86470991
18,114,79.86907132
18,126,79.87367084
18,138,79.87852044
18,150,79.88363536
18,162,79.88902786
18,174,79.89471208
18,186,79.90070083
18,198,79.90700648
18,210,79.91363849
18,222,79.92060751
18,234,79.92791849
18,246,79.93557427
18,258,79.94357358
18,270,79.95190907
18,282,79.96056774
18,294,79.96952661
18,306,79.97875584
18,318,79.98821312
18,330,79.99784523
18,342,80.00758505
18,354,80.01735274
18,366,80.02705373
18,378,80.03658003
18,390,80.04581081
18,402,80.05461491
18,414,80.06285376
18,426,80.0703854
18,438,80.07706981
18,450,80.08277337
18,462,80.08737474
18,474,80.09077337
18,486,80.09289095
18,498,80.09367736
18,510,80.09311528
18,522,80.09121709
18,534,80.08802721
18,546,80.0836197
18,558,80.07809189
18,570,80.07156213
18,582,80.06416194
18,594,80.05603112
18,606,80.04731141
18,618,80.03814236
18,630,80.0286568
18,642,80.01897685
18,654,80.00921345
18,666,79.99946324
18,678,79.98980782
18,690,79.98031754
18,702,79.97104698
18,714,79.96204085
18,726,79.95333015
18,738,79.94493988
18,750,79.93688382
18,762,79.9291704
18,774,79.92180204
18,786,79.91477648
18,798,79.90808879
18,810,79.90172958
18,822,79.89568853
18,834,79.88995478
18,846,79.88451438
18,858,79.87935411
18,870,79.87446144
18,882,79.86982097
18,894,79.86542082
30,6,79.03863117
30,18,79.04167562
30,30,79.04488108
30,42,79.04825915
30,54,79.05182049
30,66,79.05557712
30,78,79.05954197
30,90,79.06372886
30,102,79.06815105
30,114,79.07282506
30,126,79.07776615
30,138,79.08299086
30,150,79.08851565
30,162,79.09435892
30,174,79.10053693
30,186,79.10706811
30,198,79.11396827
30,210,79.1212536
30,222,79.12893777
30,234,79.1370324
30,246,79.14554601
30,258,79.15448003
30,270,79.16383378
30,282,79.17359622
30,294,79.18374835
30,306,79.19425986
30,318,79.20508713
30,330,79.21617354
30,342,79.22744407
30,354,79.2388072
30,366,79.25015253
30,378,79.26135159
30,390,79.2722577
30,402,79.28271029
30,414,79.29253605
30,426,79.30155595
30,438,79.30959071
30,450,79.31646834
30,462,79.3220325
30,474,79.32615031
30,486,79.32871946
30,498,79.32967514
30,510,79.32899189
30,522,79.3266884
30,534,79.3228222
30,546,79.31749105
30,558,79.31082164
30,570,79.30296824
30,582,79.29410023
30,594,79.28439612
30,606,79.27403598
30,618,79.26319382
30,630,79.25203297
30,642,79.24070247
30,654,79.22933425
30,666,79.21804153
30,678,79.20691872
30,690,79.19604381
30,702,79.1854762
30,714,79.17526182
30,726,79.16543309
30,738,79.15600983
30,750,79.14700588
30,762,79.13842207
30,774,79.13025819
30,786,79.12250619
30,798,79.11515538
30,810,79.10819202
30,822,79.10160054
30,834,79.09536478
30,846,79.08946705
30,858,79.08389033
30,870,79.07861678
30,882,79.07362954
30,894,79.06891229
42,6,78.24040132
42,18,78.24361001
42,30,78.24699524
42,42,78.2505676
42,54,78.25434097
42,66,78.25832881
42,78,78.26254564
42,90,78.26700846
42,102,78.27173275
42,114,78.2767388
42,126,78.28204272
42,138,78.28766722
42,150,78.29363171
42,162,78.29995865
42,174,78.30666971
42,186,78.31378889
42,198,78.32133781
42,210,78.32933807
42,222,78.3378111
42,234,78.34677474
42,246,78.3562434
42,258,78.36622678
42,270,78.37673028
42,282,78.38774872
42,294,78.39926762
42,306,78.41125886
42,318,78.42367993
42,330,78.43647019
42,342,78.44954862
42,354,78.4628111
42,366,78.47612937
42,378,78.48935021
42,390,78.50229756
42,402,78.51477194
42,414,78.52655702
42,426,78.53742621
42,438,78.5471477
42,450,78.55549987
42,462,78.56227737
42,474,78.5673044
42,486,78.57044639
42,498,78.57161596
42,510,78.57077996
42,522,78.56796185
42,534,78.56324106
42,546,78.55674383
42,558,78.54864078
42,570,78.53913222
42,582,78.52843841
42,594,78.51679002
42,606,78.50441514
42,618,78.49153222
42,630,78.47834418
42,642,78.46503062
42,654,78.45174948
42,666,78.43863254
42,678,78.42578793
42,690,78.41330051
42,702,78.40123415
42,714,78.3896345
42,726,78.37853109
42,738,78.36794143
42,750,78.35787132
42,762,78.34831746
42,774,78.33927043
42,786,78.33071677
42,798,78.32263941
